Name,Date,Open,High,Low,Close,AdjClose,Volume
GooG,2019-03-22,1226.319946,1230.000000,1202.824951,1205.500000,1205.500000,1714200
GooG,2019-03-25,1196.930054,1206.397949,1187.040039,1193.000000,1193.000000,1496800
GooG,2019-03-26,1198.530029,1202.829956,1176.719971,1184.619995,1184.619995,1901200
GooG,2019-03-27,1185.500000,1187.558960,1159.369995,1173.020020,1173.020020,1400200
GooG,2019-03-28,1171.540039,1171.564941,1159.431030,1168.489990,1168.489990,1012400
GooG,2019-03-29,1174.900024,1178.989990,1162.880005,1173.310059,1173.310059,1269900
MSFT,2019-03-22,119.500000,119.589996,117.040001,117.050003,115.521576,33624500
MSFT,2019-03-25,116.559998,118.010002,116.320000,117.660004,116.123627,27067100
MSFT,2019-03-26,118.620003,118.709999,116.849998,117.910004,116.370346,26097700
MSFT,2019-03-27,117.879997,118.209999,115.519997,116.769997,115.245224,22733400
MSFT,2019-03-28,117.440002,117.580002,116.129997,116.930000,115.403145,18334800
MSFT,2019-03-29,118.070000,118.320000,116.959999,117.940002,116.399963,25399800
IBM,2019-03-22,140.970001,141.440002,138.899994,139.449997,133.226929,3877200
IBM,2019-03-25,139.059998,139.910004,138.350006,139.179993,132.968979,2839800
IBM,2019-03-26,139.929993,141.020004,139.419998,140.220001,133.962570,2553700
IBM,2019-03-27,140.410004,140.490005,138.399994,139.240005,133.026306,3098200
IBM,2019-03-28,139.910004,140.440002,139.100006,139.919998,133.675964,2663900
IBM,2019-03-29,140.500000,141.220001,140.149994,141.100006,134.803314,3101400
